ID,Timepoint,response_type,n(),percent
AL,1_1,Correct,111,92.5
AL,1_1,Incorrect,2,1.6666666666666667
AL,1_1,Miss,7,5.833333333333333
AL,1_2,Correct,115,95.83333333333334
AL,1_2,Incorrect,4,3.3333333333333335
AL,1_2,Miss,1,0.8333333333333334
AL,2_1,Correct,115,95.83333333333334
AL,2_1,Miss,5,4.166666666666666
AL,2_2,Correct,115,95.83333333333334
AL,2_2,Incorrect,4,3.3333333333333335
AL,2_2,Miss,1,0.8333333333333334
DC,1_1,Correct,120,100
DC,1_2,Correct,118,98.33333333333333
DC,1_2,Incorrect,1,0.8333333333333334
DC,1_2,Miss,1,0.8333333333333334
DC,2_1,Correct,118,98.33333333333333
DC,2_1,Incorrect,2,1.6666666666666667
DC,2_2,Correct,119,99.16666666666667
DC,2_2,Miss,1,0.8333333333333334
ER,1_1,Correct,115,95.83333333333334
ER,1_1,Incorrect,4,3.3333333333333335
ER,1_1,Miss,1,0.8333333333333334
ER,1_2,Correct,119,99.16666666666667
ER,1_2,Miss,1,0.8333333333333334
ER,2_1,Correct,117,97.5
ER,2_1,Incorrect,2,1.6666666666666667
ER,2_1,Miss,1,0.8333333333333334
ER,2_2,Correct,116,96.66666666666667
ER,2_2,Incorrect,2,1.6666666666666667
ER,2_2,Miss,2,1.6666666666666667
HB,1_1,Correct,116,96.66666666666667
HB,1_1,Incorrect,3,2.5
HB,1_1,Miss,1,0.8333333333333334
HB,1_2,Correct,114,95
HB,1_2,Incorrect,5,4.166666666666666
HB,1_2,Miss,1,0.8333333333333334
HB,2_1,Correct,117,97.5
HB,2_1,Incorrect,2,1.6666666666666667
HB,2_1,Miss,1,0.8333333333333334
HB,2_2,Correct,116,96.66666666666667
HB,2_2,Incorrect,3,2.5
HB,2_2,Miss,1,0.8333333333333334
HC,1_1,Correct,111,92.5
HC,1_1,Incorrect,4,3.3333333333333335
HC,1_1,Miss,5,4.166666666666666
HC,1_2,Correct,118,98.33333333333333
HC,1_2,Incorrect,2,1.6666666666666667
HC,2_1,Correct,119,99.16666666666667
HC,2_1,Incorrect,1,0.8333333333333334
HC,2_2,Correct,115,95.83333333333334
HC,2_2,Incorrect,4,3.3333333333333335
HC,2_2,Miss,1,0.8333333333333334
HJ,1_1,Correct,117,97.5
HJ,1_1,Incorrect,2,1.6666666666666667
HJ,1_1,Miss,1,0.8333333333333334
HJ,1_2,Correct,116,96.66666666666667
HJ,1_2,Incorrect,3,2.5
HJ,1_2,Miss,1,0.8333333333333334
HJ,2_1,Correct,114,95
HJ,2_1,Incorrect,3,2.5
HJ,2_1,Miss,3,2.5
HJ,2_2,Correct,117,97.5
HJ,2_2,Incorrect,2,1.6666666666666667
HJ,2_2,Miss,1,0.8333333333333334
JO,1_1,Correct,116,96.66666666666667
JO,1_1,Incorrect,3,2.5
JO,1_1,Miss,1,0.8333333333333334
JO,1_2,Correct,116,96.66666666666667
JO,1_2,Incorrect,1,0.8333333333333334
JO,1_2,Miss,3,2.5
JO,2_1,Correct,117,97.5
JO,2_1,Incorrect,3,2.5
JO,2_2,Correct,119,99.16666666666667
JO,2_2,Incorrect,1,0.8333333333333334
JT,1_1,Correct,101,84.16666666666667
JT,1_1,Incorrect,1,0.8333333333333334
JT,1_1,Miss,18,15
JT,1_2,Correct,89,74.16666666666667
JT,1_2,Miss,31,25.833333333333336
JT,2_1,Correct,112,93.33333333333333
JT,2_1,Incorrect,3,2.5
JT,2_1,Miss,5,4.166666666666666
JT,2_2,Correct,111,92.5
JT,2_2,Incorrect,2,1.6666666666666667
JT,2_2,Miss,7,5.833333333333333
LJ,1_1,Correct,115,95.83333333333334
LJ,1_1,Incorrect,4,3.3333333333333335
LJ,1_1,Miss,1,0.8333333333333334
LJ,1_2,Correct,117,97.5
LJ,1_2,Incorrect,2,1.6666666666666667
LJ,1_2,Miss,1,0.8333333333333334
LJ,2_1,Correct,117,97.5
LJ,2_1,Incorrect,2,1.6666666666666667
LJ,2_1,Miss,1,0.8333333333333334
LJ,2_2,Correct,117,97.5
LJ,2_2,Incorrect,1,0.8333333333333334
LJ,2_2,Miss,2,1.6666666666666667
MaR,1_1,Correct,112,93.33333333333333
MaR,1_1,Incorrect,1,0.8333333333333334
MaR,1_1,Miss,7,5.833333333333333
MaR,1_2,Correct,115,95.83333333333334
MaR,1_2,Incorrect,1,0.8333333333333334
MaR,1_2,Miss,4,3.3333333333333335
MaR,2_1,Correct,118,98.33333333333333
MaR,2_1,Miss,2,1.6666666666666667
MaR,2_2,Correct,117,97.5
MaR,2_2,Miss,3,2.5
MR,1_1,Correct,106,88.33333333333333
MR,1_1,Incorrect,3,2.5
MR,1_1,Miss,8,6.666666666666667
MR,1_2,Correct,111,92.5
MR,1_2,Incorrect,4,3.3333333333333335
MR,1_2,Miss,5,4.166666666666666
MR,2_1,Correct,115,95.83333333333334
MR,2_1,Incorrect,2,1.6666666666666667
MR,2_1,Miss,3,2.5
MR,2_2,Correct,116,96.66666666666667
MR,2_2,Incorrect,4,3.3333333333333335
NS,1_1,Correct,112,93.33333333333333
NS,1_1,Incorrect,2,1.6666666666666667
NS,1_1,Miss,6,5
NS,2_1,Correct,117,97.5
NS,2_1,Miss,3,2.5
NS,2_2,Correct,115,95.83333333333334
NS,2_2,Incorrect,2,1.6666666666666667
NS,2_2,Miss,3,2.5
RM,1_1,Correct,118,98.33333333333333
RM,1_1,Incorrect,2,1.6666666666666667
RM,1_2,Correct,117,97.5
RM,1_2,Incorrect,2,1.6666666666666667
RM,1_2,Miss,1,0.8333333333333334
RM,2_1,Correct,117,97.5
RM,2_1,Incorrect,2,1.6666666666666667
RM,2_1,Miss,1,0.8333333333333334
RM,2_2,Correct,117,97.5
RM,2_2,Incorrect,2,1.6666666666666667
RM,2_2,Miss,1,0.8333333333333334
TF,1_1,Correct,115,95.83333333333334
TF,1_1,Incorrect,4,3.3333333333333335
TF,1_1,Miss,1,0.8333333333333334
TF,1_2,Correct,116,96.66666666666667
TF,1_2,Incorrect,3,2.5
TF,1_2,Miss,1,0.8333333333333334
TF,2_1,Correct,118,98.33333333333333
TF,2_1,Incorrect,2,1.6666666666666667
TF,2_2,Correct,117,97.5
TF,2_2,Incorrect,2,1.6666666666666667
TF,2_2,Miss,1,0.8333333333333334
